X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,y
0.026666667,0.14,0.013333333,0.066666667,0.02,0.133333333,0,0.033333333,0.033333333,0,0.066666667,0,0,0.006666667,0,0.04,0,0.266666667,0,0,0,0.06,0.013333333,0,0,0.006666667,0,0,0,0.073333333,0,0,0
0.043333333,0.006666667,0.026666667,0.036666667,0.023333333,0,0.01,0.02,0.09,0,0.07,0,0.02,0.163333333,0.003333333,0.276666667,0.003333333,0.036666667,0,0.036666667,0,0,0.03,0.01,0,0.066666667,0,0.01,0,0,0,0.016666667,0
0.01984127,0,0,0.043650794,0.075396825,0,0,0.043650794,0,0,0.107142857,0,0.027777778,0,0,0.003968254,0.281746032,0.313492063,0.03968254,0.003968254,0,0.027777778,0,0,0,0,0,0,0,0,0,0.011904762,0
0,0.006666667,0,0.013333333,0.01,0,0,0.15,0,0,0.046666667,0.003333333,0.063333333,0.01,0,0,0.006666667,0.183333333,0,0.003333333,0.01,0.06,0,0,0,0,0,0.386666667,0,0.03,0,0.016666667,0
0.0390625,0.049479167,0.11328125,0.010416667,0.009114583,0.037760417,0,0.005208333,0,0.049479167,0.006510417,0.013020833,0.001302083,0.046875,0.045572917,0.005208333,0.009114583,0.032552083,0,0.014322917,0.18359375,0.05859375,0.0078125,0.173177083,0.0234375,0.022135417,0,0.015625,0.002604167,0.024739583,0,0,0
0,0.02,0.016111111,0,0.052777778,0.29,0,0,0.006111111,0.118888889,0.012222222,0.001111111,0.005,0.012222222,0,0.006111111,0.004444444,0.038333333,0.036666667,0.006111111,0.021111111,0.046111111,0,0.007777778,0.000555556,0.000555556,0,0.022222222,0,0.256666667,0,0.018888889,0
0,0.007692308,0.092307692,0.138461538,0.130769231,0,0.038461538,0.061538462,0,0,0.061538462,0,0,0,0,0.138461538,0,0.138461538,0.061538462,0.007692308,0,0.023076923,0,0.038461538,0,0,0.015384615,0.038461538,0.007692308,0,0,0,0
0.009049774,0.009049774,0.027149321,0,0.162895928,0.018099548,0.022624434,0.076923077,0.027149321,0,0.045248869,0.122171946,0.009049774,0,0.027149321,0,0,0.171945701,0,0.063348416,0.013574661,0.090497738,0,0.004524887,0.027149321,0,0,0.040723982,0,0.022624434,0,0.009049774,0
0,0.070707071,0,0,0.02020202,0,0,0,0.02020202,0,0.090909091,0,0.01010101,0,0,0,0,0.353535354,0,0,0.04040404,0.313131313,0,0,0,0,0,0,0,0.080808081,0,0,0
0.011363636,0,0.068181818,0.011363636,0.090909091,0,0,0.011363636,0,0,0.045454545,0,0,0,0,0,0.079545455,0.193181818,0,0,0,0.125,0,0.25,0.056818182,0,0.056818182,0,0,0,0,0,0
0.014285714,0.085714286,0,0.021428571,0,0.071428571,0,0,0.021428571,0,0.05,0.107142857,0.007142857,0.021428571,0,0.142857143,0,0.107142857,0.007142857,0,0.035714286,0.064285714,0.057142857,0,0,0.028571429,0,0,0,0.042857143,0,0.114285714,0
0.010416667,0,0,0.072916667,0.015625,0,0,0.0625,0,0,0,0,0,0.088541667,0.015625,0,0,0.078125,0,0,0.223958333,0.036458333,0.375,0,0,0.010416667,0,0.005208333,0,0.005208333,0,0,0
0.074736842,0.000526316,0.074210526,0.067368421,0.025789474,0.021052632,0.017894737,0.051052632,0.001052632,0.002105263,0.004736842,0,0.008947368,0.061578947,0.009473684,0.083157895,0.004736842,0.043157895,0.000526316,0.002105263,0.001052632,0.021578947,0.142631579,0.053684211,0.029473684,0.09,0.028947368,0.048947368,0.002105263,0.015789474,0.004210526,0.007368421,0
0.000564972,0.028813559,0.03126177,0.014312618,0.027118644,0.042372881,0.001506591,0.002071563,0.019962335,0.180414313,0.037099812,0.007721281,0.00433145,0.019585687,0.001129944,0.033898305,0.127306968,0.078531073,0.080225989,0.000376648,0.001129944,0.066478343,0.025988701,0.008474576,0.001506591,0.001694915,0.001694915,0.000376648,0.004519774,0.037853107,0.002636535,0.109039548,0
0.080808081,0.02020202,0.161616162,0,0.262626263,0,0,0,0,0,0.04040404,0,0.01010101,0,0.050505051,0,0,0.101010101,0,0.080808081,0,0.101010101,0,0.090909091,0,0,0,0,0,0,0,0,0
0.107712766,0.011303191,0.011303191,0.031914894,0.010638298,0.001329787,0.007978723,0.068484043,0.002659574,0.003989362,0.013962766,0,0.011968085,0.009973404,0.000664894,0.033244681,0.02393617,0.051861702,0.161569149,0,0,0.013962766,0.032579787,0.001329787,0.001994681,0.081781915,0,0.045212766,0,0.027925532,0,0.230718085,0
0.17,0,0,0.03,0.07,0,0,0.01,0.02,0,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.29,0,0.08,0,0,0.17,0,0,0.04,0,0,0,0,0,0,0
0.16,0.1,0.02,0,0.06,0.006666667,0,0,0.006666667,0.026666667,0.04,0.006666667,0.053333333,0.033333333,0.006666667,0,0,0.16,0,0,0.013333333,0.053333333,0,0.233333333,0.006666667,0.006666667,0,0,0,0.006666667,0,0,0
0.023076923,0,0.107692308,0.046153846,0.069230769,0,0.015384615,0.023076923,0,0.007692308,0.023076923,0.007692308,0,0,0,0.184615385,0,0.184615385,0,0.007692308,0,0.023076923,0.092307692,0,0.007692308,0,0.053846154,0.007692308,0,0.023076923,0.030769231,0.061538462,0
0.0005,0.003,0.0285,0.003,0.0455,0.367,0.0065,0.0075,0.006,0.088,0.008,0.004,0.002,0.015,0.0155,0.0005,0.0045,0.029,0,0.007,0,0.0515,0.0125,0.174,0.002,0.0125,0.0265,0,0,0.0795,0,0.0005,0
0,0,0.011363636,0,0.028409091,0.017045455,0,0,0,0.113636364,0,0,0,0,0,0,0.363636364,0.170454545,0.005681818,0,0,0.0625,0,0.011363636,0,0,0.051136364,0,0,0.039772727,0.028409091,0.096590909,0
0.157142857,0,0.014285714,0,0.128571429,0,0.014285714,0,0,0.057142857,0,0.042857143,0.114285714,0,0,0,0.157142857,0.142857143,0,0,0,0.128571429,0,0,0,0,0,0,0,0,0.014285714,0.028571429,0
0,0.1375,0,0,0,0.0375,0,0,0,0,0.025,0.0375,0.3625,0.05,0,0,0,0.025,0,0,0.0625,0.0625,0,0,0,0.0625,0,0,0,0.1375,0,0,0
0,0,0.333333333,0,0.098958333,0,0.375,0,0,0.083333333,0.005208333,0,0,0.005208333,0.010416667,0,0,0.020833333,0,0,0,0.010416667,0,0.026041667,0.005208333,0,0,0,0,0.020833333,0.005208333,0,0
0.235087719,0,0.031578947,0.003508772,0.119298246,0,0.003508772,0.024561404,0,0.042105263,0,0,0,0,0,0,0.094736842,0.245614035,0,0,0,0.007017544,0.035087719,0.021052632,0.09122807,0,0,0.028070175,0,0,0.01754386,0,0
0.085714286,0,0,0.042857143,0.028571429,0,0,0.014285714,0.214285714,0,0.028571429,0,0,0,0.042857143,0,0,0.014285714,0,0,0,0.042857143,0,0.1,0.142857143,0.071428571,0,0.1,0,0.028571429,0.014285714,0.028571429,0
0.000325521,0.231770833,0.000325521,0,0.009114583,0.014322917,0,0,0.005859375,0,0.184570313,0.000325521,0.021484375,0.051432292,0.004882813,0,0,0.012695313,0,0.000651042,0.287109375,0.046549479,0,0.018554688,0,0.005859375,0,0,0,0.104166667,0,0,0
0.103025561,0.000521648,0.009128847,0.048774126,0.007303078,0.013823683,0.033124674,0.11789254,0.023735003,0.006259781,0.038862806,0,0.015127804,0.015649452,0.028951487,0.000521648,0.003390715,0.052164841,0.018257694,0.00991132,0,0.009128847,0.010432968,0,0.048252478,0.03781951,0.044079291,0.228742827,0.011215441,0.005216484,0.032081377,0.026604069,0
0.022873194,0.02046549,0.002006421,0.006621188,0.038523274,0.004815409,0,0.01364366,0.040930979,0.028491172,0.017455859,0.00100321,0.000601926,0.001805778,0.006019262,0.06540931,0.031701445,0.060794543,0.000200642,0.004614767,0.001203852,0.027688604,0.148876404,0.029695024,0.037520064,0.01364366,0.251805778,0.000601926,0,0.013242376,0.107343499,0.000401284,0
0.006410256,0,0.044871795,0.019230769,0,0,0.006410256,0.128205128,0.006410256,0,0.025641026,0,0.096153846,0,0,0,0,0.16025641,0.019230769,0,0,0.012820513,0.147435897,0,0.006410256,0,0.166666667,0.083333333,0,0,0.038461538,0.032051282,0
0.075,0,0,0.216304348,0,0,0,0,0,0,0.001086957,0.14673913,0.226086957,0.075,0.056521739,0.043478261,0,0.027173913,0,0.094565217,0,0,0,0,0.007608696,0.015217391,0.001086957,0.014130435,0,0,0,0,0
0.1875,0,0,0,0.296875,0.0078125,0,0,0,0,0.0078125,0,0,0,0.0703125,0.0078125,0,0.203125,0,0.0078125,0,0.125,0,0.03125,0.0078125,0,0,0.0078125,0,0.0390625,0,0,0
